start,finish,thickness
javascript,html_css,0.75
javascript,sql,0.125
javascript,python,0.059782608695652176
javascript,java,0.059782608695652176
javascript,c#,0.18478260869565216
javascript,php,0.21739130434782608
javascript,c++,0.06521739130434782
javascript,typescript,0.016304347826086956
javascript,c,0.059782608695652176
javascript,go,0.125
javascript,jquery,0.021739130434782608
javascript,react,0.125
javascript,angular,0.25
javascript,asp,0.1793478260869565
javascript,express,0.010869565217391304
javascript,vue.js,0.3804347826086957
javascript,laravel,0.125
javascript,linux,0.059782608695652176
javascript,windows,0.059782608695652176
javascript,aws,0.125
javascript,wordpress,0.05434782608695652
javascript,azure,0.125
javascript,sql server,0.125
javascript,mongodb,0.010869565217391304
javascript,node.js,0.1358695652173913
html_css,javascript,0.75
html_css,sql,0.25
html_css,java,0.010869565217391304
html_css,c#,0.059782608695652176
html_css,php,0.7282608695652174
html_css,c++,0.016304347826086956
html_css,go,0.25
html_css,jquery,0.043478260869565216
html_css,react,0.25
html_css,angular,0.25
html_css,asp,0.21739130434782608
html_css,spring,0.010869565217391304
html_css,vue.js,1.0
html_css,laravel,0.25
html_css,aws,0.25
html_css,wordpress,0.40217391304347827
sql,javascript,0.125
sql,html_css,0.25
sql,python,0.11956521739130435
sql,bash,0.11956521739130435
sql,php,0.24456521739130435
sql,go,0.125
sql,react,0.125
sql,angular,0.125
sql,vue.js,0.375
sql,laravel,0.125
sql,linux,0.11956521739130435
sql,windows,0.11956521739130435
sql,aws,0.125
sql,macos,0.11956521739130435
sql,mysql,0.11956521739130435
sql,sql server,0.010869565217391304
sql,sqlite,0.11956521739130435
sql,oracle,0.010869565217391304
python,javascript,0.059782608695652176
python,sql,0.11956521739130435
python,java,0.10869565217391304
python,bash,0.11956521739130435
python,c#,0.059782608695652176
python,php,0.11956521739130435
python,c++,0.059782608695652176
python,c,0.059782608695652176
python,linux,0.1793478260869565
python,windows,0.1793478260869565
python,macos,0.11956521739130435
python,mysql,0.11956521739130435
python,sqlite,0.11956521739130435
java,javascript,0.059782608695652176
java,html_css,0.010869565217391304
java,python,0.10869565217391304
java,c#,0.059782608695652176
java,c++,0.059782608695652176
java,c,0.059782608695652176
java,spring,0.005434782608695652
java,vue.js,0.005434782608695652
java,linux,0.059782608695652176
java,windows,0.059782608695652176
java,oracle,0.04891304347826087
bash,sql,0.11956521739130435
bash,python,0.11956521739130435
bash,php,0.11956521739130435
bash,linux,0.11956521739130435
bash,windows,0.11956521739130435
bash,macos,0.11956521739130435
bash,mysql,0.11956521739130435
bash,sqlite,0.11956521739130435
c#,javascript,0.18478260869565216
c#,html_css,0.059782608695652176
c#,python,0.059782608695652176
c#,java,0.059782608695652176
c#,c++,0.059782608695652176
c#,c,0.059782608695652176
c#,angular,0.125
c#,asp,0.1358695652173913
c#,linux,0.059782608695652176
c#,windows,0.059782608695652176
c#,azure,0.1358695652173913
c#,sql server,0.125
php,javascript,0.21739130434782608
php,html_css,0.7282608695652174
php,sql,0.24456521739130435
php,python,0.11956521739130435
php,bash,0.11956521739130435
php,go,0.125
php,react,0.25
php,angular,0.125
php,asp,0.05434782608695652
php,vue.js,0.375
php,laravel,0.125
php,linux,0.11956521739130435
php,windows,0.11956521739130435
php,aws,0.125
php,macos,0.11956521739130435
php,wordpress,0.14673913043478262
php,mysql,0.24456521739130435
php,sqlite,0.11956521739130435
c++,javascript,0.06521739130434782
c++,html_css,0.016304347826086956
c++,python,0.059782608695652176
c++,java,0.059782608695652176
c++,c#,0.059782608695652176
c++,typescript,0.005434782608695652
c++,c,0.059782608695652176
c++,vue.js,0.005434782608695652
c++,linux,0.059782608695652176
c++,windows,0.059782608695652176
typescript,javascript,0.016304347826086956
typescript,c++,0.005434782608695652
typescript,express,0.010869565217391304
typescript,vue.js,0.005434782608695652
typescript,mongodb,0.010869565217391304
typescript,node.js,0.010869565217391304
c,javascript,0.059782608695652176
c,python,0.059782608695652176
c,java,0.059782608695652176
c,c#,0.059782608695652176
c,c++,0.059782608695652176
c,linux,0.059782608695652176
c,windows,0.059782608695652176
go,javascript,0.125
go,html_css,0.25
go,sql,0.125
go,php,0.125
go,react,0.125
go,angular,0.125
go,vue.js,0.375
go,laravel,0.125
go,aws,0.125
jquery,javascript,0.021739130434782608
jquery,html_css,0.043478260869565216
react,javascript,0.125
react,html_css,0.25
react,sql,0.125
react,php,0.25
react,go,0.125
react,angular,0.125
react,vue.js,0.375
react,laravel,0.125
react,aws,0.125
react,azure,0.043478260869565216
react,mysql,0.125
angular,javascript,0.25
angular,html_css,0.25
angular,sql,0.125
angular,c#,0.125
angular,php,0.125
angular,go,0.125
angular,react,0.125
angular,asp,0.125
angular,vue.js,0.375
angular,laravel,0.125
angular,aws,0.125
angular,azure,0.125
angular,sql server,0.125
asp,javascript,0.1793478260869565
asp,html_css,0.21739130434782608
asp,c#,0.1358695652173913
asp,php,0.05434782608695652
asp,angular,0.125
asp,wordpress,0.05434782608695652
asp,azure,0.125
asp,sql server,0.125
express,javascript,0.010869565217391304
express,typescript,0.010869565217391304
express,mongodb,0.010869565217391304
express,node.js,0.010869565217391304
spring,html_css,0.010869565217391304
spring,java,0.005434782608695652
spring,vue.js,0.005434782608695652
